1MDB1,1956,1165
1MGB1,1445,1297
1SSB1,936,1429
1SAC1,650,1492
1MDT1,1956,1874
1MGT1,1445,1976
1SST1,551,1965
1MDS1,1956,1552
1MDS12,1956,1760
1MGS1,1445,1760
1MGS12,1445,1862
1SSS1,936,1862
1SSS12,936,1965
1BCRT,2152,1084
1MEDIA,1466,1242
1BCME,2174,958
1BRBC,2428,1029
1RNBR,2720,562
1BCAP,1736,1173
120,1956,1350
122,1956,1385
123,1956,1618
124,1956,1702
125,1956,1832
126,1956,1760
128,1956,1798
131,1956,1702
132,1773,1760
133,1773,1760
134,1688,1760
135,1688,1760
136,1605,1760
137,1605,1760
138,1508,1760
146,1508,1760
140,1445,1390
141,1445,1498
142,1445,1498
144,1445,1578
143,1445,1578
145,1445,1628
147,1445,1692
148,1445,1929
149,1445,1944
152WR,1349,1862
151,1349,1862
152,1277,1862
153,1233,1862
154,1184,1862
155,1184,1862
156,1107,1862
157,1107,1862
160,936,1625
161,936,1625
162,936,1696
163,936,1696
165,936,1788
164,936,1788
167,936,1862
158,936,1918
166,936,2020
168,936,2078
170,857,1965
172,770,1965
171,770,1965
174,681,1965
173,681,1965
177,598,1965
1AUDT,2246,950
016,2514,878
014,2566,797
004,2674,629
009,2745,546
007,2861,652
005,2940,700
002,2894,680
003,2976,729
001,2933,792
006,2624,505
011,2624,505
013,2529,436
100,1710,1136
101,1736,956
102,1736,956
119,2060,1552
117,2060,1552
118,2105,1552
1BLR,2285,1552
1GYM,2285,1552
116,2326,1552
1TR,2180,1552
114,2449,1552
1GLR,2577,1552
1AGYM,2577,1552
112,2669,1552
111,2669,1552
113,2748,1552
100T,2748,1636
110,2748,1585
200T,2752,1720
2TER,2752,1612
211,2650,1612
210,2650,1612
212,2470,1612
213,2396,1612
214,2368,1612
215,2290,1612
216,2230,1612
218,2146,1612
219,2042,1612
217,2042,1612
2MDS,1956,1612
2MDS2,1956,1718
2MDT,1956,1864
2MDB,1956,1157
2MGB,1442,1288
2MGS,1442,1718
2MGT,1442,1962
2MGS2,1442,1818
2SSB,932,1421
2SSS,932,1818
2SSS2,932,1917
2SST,551,1917
220,1956,1318
221,1956,1318
222,1956,1424
223,1956,1492
225A,1956,1612
225B,1956,1669
226,1956,1766
227,1956,1789
231,1790,1718
232,1790,1718
233,1698,1718
234,1698,1718
235,1617,1718
236,1617,1718
238,1498,1718
241,1442,1397
242,1442,1456
243,1442,1538
244,1442,1538
245,1442,1625
246,1442,1625
247,1442,1718
249,1442,1882
250,1274,1818
251,1274,1818
252,1190,1818
253,1190,1818
254,1105,1818
255,1105,1818
260,932,1574
261,932,1597
262,932,1656
263,932,1689
265,932,1768
267,932,1866
256,932,1866
264,932,1957
266,932,1994
269,932,1994
270,812,1917
271,765,1917
272,724,1917
273,674,1917
274,640,1917
275,618,1917
2BGL,1764,1202
2GST,1726,1076
2BSTR,843,1449
2BSTL,2053,1130
1LTB,2052,1122
1BSTR,2052,1225
1GTB,1620,1221
1GST,1590,1173
1BSTL,858,1453
1BSTL2,858,1513
300T,2740,1554
309,2749,1448
310,2634,1448
311,2634,1448
312,2530,1448
313,2539,1448
314,2426,1448
315,2464,1448
316,2333,1448
317,2377,1448
318,2108,1448
319,2181,1448
3MDS,2061,1448
3MDB,2061,1021
3MDS2,1956,1448
3MDT,1956,1709
3GSB,1601,1134
3GST,1577,1056
3MGB,1446,1180
3MGS,1446,1448
3MGS2,1446,1548
3MGT,1446,1817
3SSS,936,1548
3SSB,936,1312
3BSTL,868,1312
3SSS2,936,1862
3SST,590,1862
300T,2714,1556
309,2741,1448
310,2630,1448
311,2630,1448
313,2550,1448
312,2481,1448
314,2487,1448
315,2487,1448
316,2350,1448
317,2350,1448
319,2181,1448
318,2105,1448
325,2061,1305
323,2061,1217
327,1956,1500
328,1956,1540
329,1956,1588
321,1808,1120
331,1913,1448
330,1676,1448
332,1540,1448
343,1444,1448
344,1444,1658
346,1444,1685
345,1444,1760
342,1444,1357
341,1444,1357
352,1361,1548
354,1169,1548
356,996,1548
360,936,1397
361,936,1572
363,936,1646
362,936,1693
365,936,1754
364,936,1913
371,702,1862
373,673,1862
